Genres,Episodes,Decimal,AiredYear,Type,Source,Romance,Shoujo,Ecchi,Shounen,Fantasy,Comedy,Music,Sports,Hentai,Historical,Mistery,Thriller,Supernatural,Gore,SciFi,Action,Otro,Members,Score,Favorites
"Comedy, Romance, Ecchi",1,259,2011.0,4,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11361,6.41,5
"Comedy, Romance, Shounen",12,19,2015.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,80521,7.07,381
"Mistery, Comedy, Fantasy, Shounen, Otro",1,32853,2006.0,0,6,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,28891,8.21,25
"Comedy, Ecchi",1,257,2009.0,3,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20067,6.36,6
"Sci-Fi, Music",1,8224,2004.0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,48,3.8,0
"Comedy, Romance, Fantasy, Action",12,15,2017.0,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,16670,6.75,38
"Comedy, Romance, Action, Supernatural, Ecchi",1,395,2018.0,4,5,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,23710,6.97,52
"Sci-Fi, Shounen, Action",6,56,2015.0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,28224,8.46,240
"Comedy, Sports, Romance, Fantasy, Shoujo",51,4615,2003.0,5,9,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,51894,8.03,1155
"Comedy, Romance, Shoujo",12,515,2015.0,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66090,8.03,495
"Comedy, Romance, Fantasy",13,7,2001.0,5,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13080,6.29,10
"Comedy, Romance",6,3,2013.0,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1488,6.31,0
"Sci-Fi, Fantasy, Action, Supernatural, Otro",50,236,2000.0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1385,6.48,2
"Comedy, Sports, Romance, Shounen",2,4115,2016.0,3,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4020,7.58,3
"Sci-Fi, Fantasy, Shounen",26,52,1998.0,5,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,23807,7.17,143
"Sci-Fi, Action",73,40,1979.0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,437,6.55,0
Comedy,0,1,2018.0,5,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,165,4.67,0
"Comedy, Fantasy",12,5,2018.0,5,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,40127,6.86,62
"Comedy, Romance, Shounen",11,19,2013.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,158741,8.16,1768
"Romance, Action, Supernatural, Otro",8,202,2016.0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,44763,7.92,290
"Action, Supernatural, Otro",1,200,2016.0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,26586,7.65,28
"Comedy, Sci-Fi, Action, Ecchi",1,297,2015.0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4735,6.7,3
"Comedy, Romance, Shoujo",2,515,1994.0,3,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3215,6.22,8
Sci-Fi,1,32,2009.0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2991,5.33,5
"Sci-Fi, Romance, Fantasy, Shoujo, Otro",12,614,2017.0,5,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,82292,7.34,305
"Gore, Supernatural, Otro",1,16576,2004.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,26831,6.92,95
"Comedy, Sports",12,4097,2016.0,5,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,236,7.27,1
Hentai,4,2048,2014.0,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3177,6.42,18
"Comedy, Romance, Shounen, Supernatural",1,147,2013.0,2,6,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,34961,7.41,245
"Sci-Fi, Romance, Action",13,42,1998.0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,32132,7.79,362
"Comedy, Sci-Fi",12,33,2017.0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,240,5.14,1
"Comedy, Romance, Shounen",12,19,2017.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,90603,7.49,305
"Comedy, Fantasy, Shoujo",1,517,1986.0,3,9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,447,6.02,1
"Comedy, Romance, Shounen, Action",25,27,2017.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,583016,8.76,11671
"Fantasy, Hentai",2,2052,1994.0,3,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3337,6.38,10
"Comedy, Shounen, Ecchi",2,273,2010.0,3,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,22148,6.6,38
"Comedy, Romance, Action",1,11,2008.0,4,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7435,7.44,5
"Comedy, Fantasy, Shounen, Action",1,29,2004.0,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,43143,7.39,22
"Sci-Fi, Romance, Shounen, Action",26,58,2003.0,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,118226,7.94,1945
"Comedy, Romance, Shounen, Ecchi",4,275,2005.0,3,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,21424,7.0,15
"Sports, Romance, Shounen, Action",26,4122,1998.0,5,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,115355,8.28,3395
"Sci-Fi, Romance, Action, Otro",1,106,2003.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11623,7.12,17
Action,1,8,1993.0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,856,6.29,2
"Comedy, Sci-Fi, Romance, Action",1,43,2008.0,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2467,7.16,6
"Action, Supernatural, Thriller, Otro",1,65736,2008.0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,128075,8.0,221
"Sci-Fi, Romance, Action",1,42,2014.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7700,7.91,5
"Comedy, Sci-Fi, Shounen, Action",54,57,1990.0,5,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,8416,7.16,48
"Romance, Otro",16,66,2016.0,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,989,6.25,1
Fantasy,10,4,2016.0,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,555,6.93,1
"Comedy, Romance, Shoujo",1,515,2016.0,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1265,5.7,1
"Sci-Fi, Romance, Fantasy, Otro",26,102,2004.0,5,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,21328,7.63,230
Music,1,8192,2015.0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1459,7.12,3
"Comedy, Romance, Ecchi",12,259,2010.0,5,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,159562,7.29,639
"Comedy, Romance, Hentai, Action, Supernatural",1,2187,1992.0,3,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1033,4.97,3
"Comedy, Fantasy",6,5,2007.0,3,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3741,6.86,2
Sci-Fi,5,32,2004.0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,802,5.83,1
Hentai,2,2048,2010.0,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15227,6.91,64
"Sports, Romance",1,4098,2016.0,4,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3306,5.95,0
"Supernatural, Thriller, Otro",24,65728,2007.0,5,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,271169,8.35,5221
"Comedy, Sports",7,4097,2013.0,4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,44107,7.76,109
Romance,2,2,2017.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,5.78,2
"Comedy, Sci-Fi, Shounen",1,49,1985.0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,713,6.32,1
"Sci-Fi, Music",1,8224,2011.0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,252,4.53,0
"Sci-Fi, Romance, Supernatural",1,162,2015.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,20677,6.33,11
"Sci-Fi, Romance, Fantasy, Shounen, Otro",26,118,2005.0,5,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,13438,7.01,50
Comedy,6,1,2012.0,4,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3808,6.27,1
"Comedy, Shounen",10,17,1992.0,3,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12153,8.12,151
"Sci-Fi, Action",1,40,2015.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,63103,7.49,79
Comedy,13,1,2009.0,2,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23721,6.61,41
"Comedy, Romance, Ecchi",12,259,2015.0,5,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,313393,7.49,1876
"Sci-Fi, Romance, Action",51,42,1993.0,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,15475,6.89,85
"Comedy, Romance, Fantasy, Shoujo, Action",50,527,2009.0,5,9,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,8777,7.43,109
"Music, Otro",1,8256,1962.0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,79,3.6,0
"Romance, Shoujo, Ecchi",1,770,2014.0,4,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13877,6.76,17
Hentai,1,2048,2015.0,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2833,6.17,10
"Sci-Fi, Fantasy, Shounen, Action, Otro",50,124,2003.0,5,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,12081,7.01,52
"Sci-Fi, Romance, Action, Ecchi",13,298,2006.0,5,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16992,7.13,72
"Historical, Romance, Otro",52,1090,2008.0,5,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1722,7.13,4
Hentai,1,2048,2007.0,3,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7180,5.07,96
"Romance, Fantasy, Shoujo",4,518,2001.0,3,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13110,6.98,65
Comedy,1,1,2010.0,3,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7690,6.23,13
"Comedy, Gore, Shounen, Action, Supernatural",3,16537,2010.0,3,6,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,9837,7.17,11
"Comedy, Romance, Fantasy, Action, Otro",50,79,2000.0,5,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,146652,7.35,672
"Fantasy, Music",1,8196,1999.0,1,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,327,5.31,0
"Comedy, Romance, Fantasy, Action, Otro",25,79,2007.0,5,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,3677,5.47,5
"Romance, Shoujo",13,514,2009.0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13902,7.92,61
"Sci-Fi, Action",26,40,1976.0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,468,6.29,3
"Sci-Fi, Romance, Shounen, Action, Otro",11,122,2017.0,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,200657,7.9,1211
"Comedy, Fantasy, Shounen, Supernatural",13,149,2017.0,5,6,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,20890,7.91,35
"Sci-Fi, Fantasy, Shounen, Action",26,60,1975.0,5,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1563,6.39,3
"Romance, Shounen, Otro",22,82,2016.0,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,192932,8.43,3918
"Comedy, Romance, Shounen, Action, Supernatural",4,155,1994.0,3,9,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1807,6.19,4
"Shounen, Thriller, Otro",26,65616,2005.0,5,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,61030,7.99,824
"Fantasy, Action, Otro",1,76,2012.0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10560,7.61,16
"Comedy, Historical, Otro",32,1089,2017.0,5,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,172,6.0,0
"Comedy, Sci-Fi, Fantasy, Action, Ecchi",1,301,2002.0,3,9,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,5775,6.98,0
"Sci-Fi, Fantasy, Shounen, Action",52,60,2001.0,5,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,18852,7.36,138
Romance,1,2,2014.0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,6.02,0
Comedy,13,1,2015.0,5,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,222,6.66,2
"Comedy, Fantasy",43,5,1998.0,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,157,6.69,0
"Comedy, Historical, Shounen",3,1041,2012.0,5,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,15984,7.1,18
"Shounen, Action, Supernatural",24,152,2010.0,5,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,161192,7.75,1088
"Comedy, Romance, Ecchi",1,259,2012.0,3,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,76680,7.2,57
"Comedy, Sports, Romance, Shounen",26,4115,2008.0,5,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,36476,8.32,151
Romance,3,2,2016.0,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,6.27,0
"Fantasy, Shounen, Action",8,28,2003.0,3,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,73480,8.3,215
"Comedy, Fantasy, Shounen, Action, Supernatural",103,157,2006.0,5,6,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,423475,8.16,12129
"Comedy, Supernatural, Otro",1,193,2015.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,912,7.06,3
"Comedy, Sports, Romance",2,4099,2011.0,3,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,18911,8.46,71
Romance,1,2,2006.0,3,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292,6.29,0
"Romance, Fantasy, Shoujo",1,518,2017.0,3,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20351,8.13,502
"Fantasy, Shounen, Action",1,28,2010.0,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5124,6.44,3
"Comedy, Fantasy",40,5,2004.0,5,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20130,7.19,68
"Comedy, Romance, Shounen, Ecchi",12,275,2009.0,5,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,135433,6.95,310
"Romance, Fantasy",1,6,1996.0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111,5.0,0
"Comedy, Fantasy, Otro",1,69,1999.0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,16809,6.61,6
"Comedy, Romance, Ecchi",12,259,2005.0,5,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62471,6.64,130
"Comedy, Shounen, Action, Ecchi",12,281,2008.0,5,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,31356,7.11,68
"Sci-Fi, Fantasy, Action",1,44,2014.0,4,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,28591,7.32,111
"Comedy, Shounen, Action",1,25,2017.0,4,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,44714,7.38,272
Otro,2,64,2013.0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,6.21,0
"Comedy, Romance, Shounen, Action",52,27,1997.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10603,7.7,82
"Comedy, Romance, Fantasy, Action",1,15,2016.0,0,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,39643,7.96,127
Comedy,6,1,2017.0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,143,5.36,0
Music,1,8192,2013.0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104,5.43,0
"Historical, Fantasy, Shounen, Action, Supernatural",0,1180,2017.0,2,6,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,319,8.46,1
"Sci-Fi, Romance, Fantasy, Shounen, Action",49,62,1992.0,5,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,10300,7.55,131
"Sci-Fi, Romance, Action",25,42,2008.0,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,102403,8.18,1266
"Sci-Fi, Fantasy, Shounen, Action",105,60,1972.0,5,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,6006,7.06,52
"Comedy, Romance, Gore, Shounen, Supernatural, Ecchi",12,16787,2012.0,5,6,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,305513,7.49,1530
"Comedy, Sports, Romance, Shounen",26,4115,2005.0,5,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,39997,8.36,229
Shounen,1,16,2016.0,4,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6285,6.9,19
"Historical, Shounen, Action",12,1048,2009.0,5,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,113297,7.51,1020
"Comedy, Romance, Shoujo",12,515,2005.0,5,13,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35445,6.89,229
Hentai,0,2048,2017.0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1753,5.98,7
"Comedy, Supernatural, Otro",214,193,2014.0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,11332,7.24,125
"Comedy, Romance, Shounen",13,19,2000.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16869,6.53,38
Action,12,8,2017.0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145539,6.71,316
"Comedy, Romance",4,3,2010.0,3,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28204,7.19,90
"Sports, Romance, Shounen, Action",2,4122,2002.0,3,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3880,6.42,5
Fantasy,1,4,2015.0,4,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,277,5.69,1
"Supernatural, Otro",11,192,2011.0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,103054,7.49,559
"Comedy, Sci-Fi, Romance, Otro",44,99,2016.0,5,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,124,5.0,0
"Fantasy, Action, Otro",1,76,2010.0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,32642,7.07,27
"Comedy, Historical",48,1025,2010.0,2,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,76776,7.86,1099
"Comedy, Sci-Fi, Fantasy, Shounen, Action",1,61,1988.0,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,32030,7.05,16
"Romance, Fantasy, Shounen, Otro",29,86,1995.0,5,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,16852,7.14,85
"Sports, Shounen",3,4112,2014.0,3,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,817,6.1,1
"Sci-Fi, Fantasy, Action",6,44,2012.0,5,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,12516,6.14,6
"Romance, Fantasy, Shounen, Action, Supernatural, Ecchi",2,414,2015.0,3,5,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,45897,7.41,66
"Sci-Fi, Romance, Fantasy, Shoujo, Music",1,8742,1998.0,1,9,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,255,5.61,0
"Sci-Fi, Action",13,40,2005.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,184696,8.03,1244
"Comedy, Shoujo",12,513,2008.0,5,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25448,7.14,94
Fantasy,25,4,1998.0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1659,7.14,12
"Comedy, Romance",3,3,2015.0,2,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147,4.06,0
"Sci-Fi, Romance, Shounen, Action, Ecchi",12,314,2011.0,5,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,203321,7.11,1051
"Comedy, Otro",1,65,2012.0,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,92,4.4,0
"Gore, Shounen",2,16400,1991.0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,246,5.03,0
"Sci-Fi, Shoujo, Gore, Action, Supernatural",6,17064,2008.0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,120731,7.44,911
"Comedy, Romance, Shounen",6,19,2007.0,4,15,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3194,7.41,1
"Comedy, Supernatural, Otro",0,193,2018.0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,248,6.34,1
"Sci-Fi, Shounen, Action",1,56,2010.0,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1037,6.11,0
"Comedy, Sci-Fi, Historical, Romance, Shounen",4,1075,2000.0,3,9,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,5242,6.81,7
"Fantasy, Otro",1,68,2014.0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14164,6.67,4
"Comedy, Gore, Action",41,16393,2014.0,2,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1617,6.84,5
"Comedy, Fantasy, Otro",1,69,2005.0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,7140,7.25,10
Hentai,3,2048,2015.0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3956,6.37,18
"Historical, Romance, Fantasy",50,1030,1981.0,5,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2564,7.29,7
"Comedy, Gore, Supernatural",1,16513,2016.0,4,9,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1098,5.34,1
"Comedy, Fantasy, Supernatural",10,133,2017.0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,417656,8.36,4646
"Comedy, Fantasy, Otro",26,69,2015.0,5,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,284,6.33,0
"Comedy, Historical, Fantasy",48,1029,2008.0,5,11,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,188,6.36,0
"Romance, Fantasy",1,6,2007.0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31267,7.79,21
"Fantasy, Shoujo",1,516,2009.0,4,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3280,6.17,7
"Comedy, Romance, Shounen, Supernatural, Ecchi",1,403,2011.0,3,5,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,15934,7.04,3
Fantasy,12,4,2009.0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55011,7.33,86
"Comedy, Sci-Fi, Fantasy, Shounen, Action",1,61,1995.0,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,74404,7.69,110
"Romance, Gore, Supernatural, Otro",12,16578,2018.0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,56827,6.47,117
"Comedy, Shounen, Supernatural",1,145,2012.0,3,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2882,6.76,0
"Comedy, Romance, Shounen, Supernatural",13,147,2008.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,109171,7.39,320
"Fantasy, Otro",1,68,1984.0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,160,6.54,0
"Comedy, Otro",60,65,1997.0,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,164,5.69,0
"Comedy, Sci-Fi, Sports, Fantasy, Shounen, Action",52,4157,2003.0,5,6,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,27868,7.01,178
"Historical, Romance, Fantasy, Shounen, Supernatural, Otro",1,1238,2015.0,0,6,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,55411,8.71,124
"Comedy, Fantasy, Shounen, Action",220,29,2002.0,5,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,980265,7.88,34468
"Comedy, Sci-Fi, Romance, Fantasy, Gore, Hentai, Action, Supernatural",6,18607,1995.0,3,6,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1641,5.89,1
"Sci-Fi, Gore, Supernatural",1,16544,1990.0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10206,7.09,51
"Comedy, Fantasy, Supernatural",1,133,1998.0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,14243,7.4,10
"Comedy, Romance, Ecchi",12,259,2004.0,5,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16471,6.87,16
"Comedy, Sci-Fi, Fantasy, Shounen",23,53,2005.0,5,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,181812,7.49,1703
"Comedy, Romance, Shoujo",24,515,2008.0,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,217312,7.72,2782
"Mistery, Sci-Fi, Action",22,32808,1984.0,5,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,534,6.29,1
