Genres,Source,Type,Episodes,Decimal,Popularity,Score,Favorites
"Romance, Shounen, Action, Ecchi",6,3,2,282,2030,6.77,28
"Comedy, Romance, Supernatural, Ecchi",5,3,2,387,641,7.45,396
Romance,9,2,1,2,13574,5.45,0
"Comedy, Romance, Supernatural, Ecchi",5,5,12,387,923,6.77,212
"Comedy, Romance, Shounen",15,5,12,19,311,7.89,1187
"Comedy, Fantasy, Shounen, Action",9,5,51,29,8934,5.75,0
Comedy,15,5,13,1,6799,5.03,2
Comedy,9,4,1,1,6115,5.89,2
"Romance, Fantasy, Otro",9,0,1,70,7136,6.75,5
"Comedy, Romance, Fantasy, Shounen, Action",6,4,1,31,2795,7.79,14
"Comedy, Historical, Supernatural",9,5,16,1153,10053,5.35,0
"Romance, Shoujo, Music, Ecchi",13,5,12,8962,2743,6.51,39
"Fantasy, Supernatural",6,3,1,132,8609,6.32,1
"Historical, Romance, Otro",5,5,24,1090,201,8.19,6156
"Sci-Fi, Fantasy, Action",5,5,12,44,3283,6.74,31
"Sci-Fi, Romance, Fantasy, Shoujo, Action, Otro",6,5,11,622,1491,7.35,348
"Comedy, Sci-Fi, Shounen, Action, Ecchi",9,3,4,313,5816,6.82,10
Comedy,9,2,0,1,11898,4.93,0
"Comedy, Romance",5,5,24,3,65,8.33,18044
"Romance, Otro",9,0,1,66,2938,7.4,92
"Historical, Romance, Shounen",6,4,7,1042,5423,6.35,3
"Comedy, Sci-Fi, Romance, Ecchi",9,5,12,291,1226,6.99,166
"Romance, Shounen",6,0,1,18,10431,5.86,0
Hentai,13,3,2,2048,6087,6.12,4
"Comedy, Sci-Fi, Sports, Romance, Fantasy, Shounen, Action",9,5,26,4159,4647,7.0,28
"Sci-Fi, Fantasy, Action",9,5,50,44,10567,6.09,0
"Comedy, Sci-Fi",9,3,1,33,8425,4.56,2
Romance,4,3,3,2,7304,6.27,5
"Romance, Hentai",6,3,1,2050,5834,6.35,9
"Historical, Romance, Fantasy",8,0,1,1030,8065,6.06,2
"Sci-Fi, Romance, Fantasy, Otro",9,5,12,102,1072,8.24,2213
"Comedy, Romance, Supernatural",5,4,1,131,5070,6.75,8
"Sports, Shounen",6,5,51,4112,6788,6.68,12
"Comedy, Romance",6,4,3,3,5735,6.58,3
"Fantasy, Otro",8,4,1,68,11590,5.51,0
"Sports, Shounen, Action",6,0,1,4120,2989,7.44,43
"Romance, Hentai, Supernatural",6,3,2,2178,3589,7.37,98
"Romance, Fantasy, Action",9,4,3,14,5389,6.8,7
"Sci-Fi, Fantasy, Shounen",9,5,52,52,7842,7.12,16
"Sci-Fi, Shounen, Action",9,5,48,56,8332,6.57,3
"Comedy, Fantasy, Music, Otro",4,0,1,8261,4827,6.62,2
"Historical, Romance, Action, Supernatural, Otro",13,5,12,1226,773,7.54,1824
"Mistery, Comedy",9,5,13,32769,3619,4.73,16
"Comedy, Romance, Ecchi",6,5,12,259,1334,6.27,53
"Comedy, Sci-Fi, Romance, Ecchi",9,3,1,291,5971,6.13,1
"Comedy, Romance, Action",8,5,12,11,1598,7.56,335
"Comedy, Romance, Ecchi",6,5,95,259,7537,6.51,3
"Romance, Music",9,4,1,8194,4905,6.83,1
"Mistery, Comedy, Shounen, Action",6,5,23,32793,4543,7.28,4
"Sci-Fi, Shounen, Action",9,3,1,56,2139,7.91,101
"Mistery, Sci-Fi, Shounen, Action, Otro",6,0,1,32888,174,8.35,7755
"Action, Supernatural, Otro",5,5,12,200,385,8.1,590
Romance,6,2,10,2,2969,6.56,22
"Comedy, Shounen",6,2,5,17,9259,5.28,0
"Comedy, Shounen, Otro",6,3,1,81,1821,7.44,24
"Historical, Romance",8,4,2,1026,12796,5.53,0
"Comedy, Romance, Shounen",6,5,12,19,6684,5.96,2
"Comedy, Fantasy, Otro",4,0,1,69,2413,6.84,11
"Romance, Hentai",9,3,1,2050,5206,6.99,58
Comedy,9,2,10,1,12914,5.13,0
Fantasy,6,0,1,4,407,8.47,2525
"Fantasy, Shoujo",9,5,50,516,7639,6.66,5
"Comedy, Romance",9,3,1,3,4653,6.51,2
"Mistery, Comedy, Action",9,2,12,32777,4507,5.46,2
"Comedy, Sports, Romance, Shounen, Action",6,3,2,4123,5566,6.74,6
"Romance, Shoujo",6,3,1,514,2053,6.49,106
Hentai,6,3,1,2048,7515,5.25,4
"Gore, Shounen, Action",6,5,13,16408,993,7.34,206
"Sci-Fi, Shounen",4,3,3,48,5999,6.75,9
"Comedy, Romance, Shounen",6,5,20,19,4787,7.59,24
"Comedy, Sci-Fi, Romance",9,4,1,35,4782,7.18,1
"Romance, Action",10,5,8,10,283,7.0,1852
"Romance, Fantasy, Shounen, Action, Otro",6,5,12,94,651,8.48,2995
"Comedy, Romance, Fantasy, Shounen, Otro",4,5,26,87,8767,6.38,5
Romance,13,5,13,2,615,7.34,764
Music,7,1,1,8192,10222,5.8,0
"Sci-Fi, Romance, Action",6,5,25,42,3773,6.59,30
"Comedy, Romance",9,4,1,3,5644,7.49,1
"Sci-Fi, Music",7,1,1,8224,508,8.41,1725
"Historical, Romance, Fantasy, Action, Otro",13,5,12,1102,1651,6.67,161
"Comedy, Shounen, Ecchi",6,0,1,273,2273,7.24,44
"Comedy, Romance, Shounen, Ecchi",6,3,6,275,8431,6.54,1
"Comedy, Sports",6,4,1,4097,4659,7.5,4
"Sci-Fi, Fantasy, Shounen, Action",6,0,1,60,6398,6.46,1
"Comedy, Romance, Fantasy, Shounen, Action",6,0,1,31,3453,7.85,27
"Comedy, Fantasy, Shounen, Action",6,0,1,29,9094,5.4,0
"Sci-Fi, Historical, Romance, Fantasy, Action",9,0,1,1070,1526,7.42,121
"Comedy, Romance, Ecchi",6,5,13,259,1905,6.83,43
"Romance, Fantasy",2,5,12,6,2040,6.13,60
Hentai,13,3,4,2048,4468,6.18,45
"Comedy, Romance",15,5,12,3,1775,7.18,90
Comedy,9,2,3,1,12307,4.61,0
"Comedy, Ecchi",5,4,1,257,5222,6.51,2
"Romance, Fantasy, Shounen, Action",9,5,9,30,2145,7.22,101
"Comedy, Historical",14,0,1,1025,1696,7.4,305
"Sci-Fi, Fantasy, Shounen, Action, Otro",6,5,0,124,2896,6.77,114
Romance,13,4,2,2,4824,6.81,1
"Comedy, Romance, Otro",6,3,1,67,2465,7.09,21
"Fantasy, Shounen, Action, Supernatural",4,0,1,156,2192,6.73,52
"Comedy, Romance, Fantasy",1,5,65,7,6114,7.12,13
"Fantasy, Shounen, Action",5,4,1,28,3271,6.86,10
"Comedy, Romance, Ecchi",5,5,12,259,1234,6.63,76
"Comedy, Fantasy, Shounen, Action",6,4,1,29,4409,6.9,3
"Sports, Fantasy",6,5,109,4100,6603,7.15,7
"Historical, Romance, Fantasy",8,5,49,1030,7440,6.92,5
"Comedy, Romance, Ecchi",13,5,12,259,1295,6.82,144
"Comedy, Fantasy, Shounen, Action",6,0,1,29,1848,7.01,29
"Romance, Fantasy",9,5,12,6,2758,6.82,69
Hentai,13,3,2,2048,4480,6.59,28
"Mistery, Comedy, Sports, Action",6,5,30,36873,9180,6.61,1
"Comedy, Fantasy",9,0,1,5,9697,7.67,0
"Comedy, Romance, Ecchi",6,4,5,259,4828,6.57,2
"Comedy, Action, Supernatural",5,4,2,137,711,8.0,184
"Sci-Fi, Romance, Action",6,5,24,42,1691,8.02,832
"Romance, Shoujo, Action",6,5,12,522,480,6.78,853
"Sci-Fi, Action",9,5,25,40,4748,7.21,35
"Romance, Shounen, Thriller",6,5,13,65554,2510,6.19,55
"Sci-Fi, Shounen, Action",6,0,1,56,8103,5.88,0
"Sci-Fi, Fantasy, Shounen",6,3,1,52,2605,6.96,14
"Comedy, Sci-Fi, Fantasy, Otro",14,5,12,101,2514,5.89,34
Hentai,13,3,2,2048,6657,6.19,3
Romance,5,3,1,2,3643,6.28,9
"Romance, Fantasy, Shoujo, Supernatural",13,5,13,646,1175,6.87,351
"Romance, Shoujo, Otro",6,5,39,578,2935,7.85,354
Hentai,6,3,1,2048,9228,5.02,1
"Historical, Shounen, Action",9,4,1,1048,4923,6.81,6
"Sci-Fi, Romance, Music, Action",9,1,1,8234,5404,7.16,13
Hentai,13,3,1,2048,6240,6.72,9
"Sci-Fi, Fantasy, Gore, Action",4,5,26,16428,3417,6.6,16
"Comedy, Action, Supernatural, Otro",6,0,1,201,2424,7.91,81
"Comedy, Fantasy",9,5,24,5,4176,5.57,7
Hentai,13,3,4,2048,5572,5.72,19
"Comedy, Romance, Otro",6,4,1,67,7406,5.89,0
"Fantasy, Action",6,4,1,12,2809,6.89,32
Fantasy,4,2,1,4,7729,5.41,2
"Sci-Fi, Shounen, Action",9,0,1,56,5945,5.82,8
"Comedy, Romance, Fantasy, Shounen, Ecchi",6,5,12,279,1583,6.91,48
"Sci-Fi, Fantasy, Shounen",9,5,73,52,7442,7.21,15
"Sci-Fi, Romance, Otro",13,5,22,98,645,7.4,528
Otro,10,2,13,64,13407,3.91,0
"Fantasy, Otro",5,4,1,68,2320,7.67,16
"Comedy, Romance",15,5,25,3,11065,5.22,0
"Comedy, Supernatural",9,5,13,129,6370,6.09,1
"Romance, Music",8,0,1,8194,3349,7.45,12
"Comedy, Historical, Romance, Shoujo",8,5,40,1539,4122,7.93,77
"Sci-Fi, Romance, Action",9,5,25,42,1521,6.47,71
Music,7,1,1,8192,10842,5.7,0
"Romance, Shoujo",6,3,1,514,1891,7.36,25
"Comedy, Romance, Shounen",15,3,1,19,6616,6.79,3
"Sci-Fi, Shounen, Action",9,0,1,56,5407,7.13,5
"Comedy, Romance",15,4,1,3,4643,6.99,3
"Comedy, Fantasy, Otro",9,3,1,69,2894,6.29,24
"Sci-Fi, Otro",6,5,25,96,4200,6.86,13
"Romance, Shounen",9,5,13,18,72,7.92,9561
Otro,9,4,2,64,13054,6.25,0
"Romance, Fantasy, Shounen, Action",6,4,4,30,957,8.1,167
"Comedy, Fantasy, Shounen, Otro",6,0,1,85,8673,7.46,3
Comedy,6,5,26,1,10485,6.18,0
"Shounen, Action, Supernatural, Otro",9,0,1,216,2413,7.6,16
Hentai,13,3,1,2048,4439,7.07,61
"Comedy, Romance, Fantasy",9,3,1,7,5269,6.85,11
"Sci-Fi, Romance, Fantasy, Action",9,3,13,46,2362,7.42,186
"Comedy, Romance, Shoujo",6,3,1,515,1751,7.95,113
"Mistery, Sci-Fi, Gore, Action, Supernatural",4,3,1,49320,5556,5.22,1
"Comedy, Sci-Fi, Romance, Fantasy",9,3,6,39,4743,7.22,18
"Historical, Romance, Fantasy",1,5,49,1030,5769,7.15,15
"Fantasy, Hentai, Action",13,3,2,2060,6067,5.93,11
"Comedy, Romance",6,5,0,3,3169,6.33,6
"Fantasy, Action",4,4,1,12,5482,6.66,7
"Sci-Fi, Romance, Shounen, Action",4,5,12,58,3471,6.9,22
"Historical, Romance, Shoujo",8,5,26,1538,5426,7.54,9
"Comedy, Fantasy, Shounen, Action, Otro",6,4,1,93,5736,6.99,0
"Gore, Supernatural, Otro",1,5,19,16576,1267,7.73,638
"Sci-Fi, Romance, Fantasy, Shounen, Action",6,5,26,62,2612,6.7,36
"Fantasy, Action, Ecchi",10,5,12,268,2253,6.46,43
"Romance, Shounen, Ecchi",6,5,13,274,832,6.57,391
Hentai,9,3,2,2048,6937,6.11,8
"Comedy, Action, Ecchi",9,3,10,265,6321,2.61,19
"Sci-Fi, Fantasy, Shounen, Supernatural",6,0,1,180,6880,6.36,1
"Comedy, Gore, Shounen, Action, Supernatural",6,4,1,16537,3950,7.08,9
"Mistery, Action",9,2,13,32776,1379,7.34,721
"Gore, Supernatural, Thriller, Otro",13,5,26,82112,97,8.1,15819
"Fantasy, Shoujo",9,5,52,516,6872,6.84,15
Hentai,13,3,4,2048,2837,7.88,336
"Comedy, Fantasy, Shounen, Action",6,5,61,29,1164,7.92,443
"Comedy, Romance, Fantasy, Otro",4,0,1,71,1427,7.29,76
Hentai,13,3,3,2048,4135,6.59,30
"Comedy, Historical, Romance",4,4,8,1027,8192,6.37,0
"Comedy, Sports, Romance, Shounen",6,5,25,4115,85,8.37,15372
Romance,9,4,1,2,4358,5.38,5
"Fantasy, Action",4,2,1,12,7027,6.47,1
Hentai,13,3,1,2048,5832,6.9,24
Fantasy,5,4,1,4,3593,6.18,1
"Comedy, Romance, Shounen, Ecchi",6,5,12,275,235,7.5,1083
"Comedy, Romance, Ecchi",13,5,13,259,1039,7.29,206
"Comedy, Fantasy, Action, Supernatural, Ecchi",5,5,12,397,129,7.59,2923
"Comedy, Fantasy, Otro",9,5,101,69,12177,6.14,0
"Sports, Romance, Shounen",6,5,26,4114,1037,7.32,629
"Comedy, Sci-Fi, Fantasy, Action",9,5,50,45,10246,6.47,1
"Comedy, Ecchi",6,4,1,257,11441,6.2,0
"Romance, Shoujo",6,3,1,514,3061,6.75,21
"Comedy, Romance, Shounen",15,4,2,19,3760,7.84,7
"Comedy, Romance, Shounen",5,5,12,19,1192,7.46,221
"Comedy, Fantasy, Action, Supernatural",5,5,10,141,199,7.79,3219
"Comedy, Romance, Fantasy, Ecchi",13,3,1,263,3933,6.71,4
"Comedy, Fantasy, Action, Otro",9,5,54,77,305,7.88,3625
"Romance, Supernatural",13,5,12,130,340,7.42,2547
"Comedy, Romance, Fantasy, Shounen",6,5,12,23,1589,6.57,79
"Comedy, Romance, Fantasy, Shoujo",6,5,13,519,3137,6.92,113
"Comedy, Romance, Shounen",6,5,13,19,1444,8.07,305
"Fantasy, Action, Otro",9,5,50,76,9457,6.59,1
"Comedy, Romance, Shounen, Ecchi",6,5,12,275,133,7.91,3527
Comedy,15,3,1,1,7674,6.19,1
"Comedy, Otro",7,5,10,65,9840,5.41,0
Sci-Fi,9,2,2,32,5790,6.11,5
"Comedy, Romance, Fantasy, Shoujo",6,4,1,519,2893,7.36,16
"Comedy, Fantasy, Shounen, Action, Ecchi",6,3,6,285,2407,6.87,116
"Comedy, Romance",9,3,1,3,6379,6.59,0
"Historical, Romance, Fantasy, Shounen, Action, Supernatural",6,5,8,1182,1022,7.62,131
"Romance, Shoujo, Supernatural, Otro",6,5,13,706,299,7.45,3125
"Sci-Fi, Action",9,5,43,40,1215,7.87,1342
"Historical, Romance, Fantasy",9,5,13,1030,5585,6.94,2
"Sci-Fi, Fantasy, Action",6,0,1,44,4951,7.18,26
"Comedy, Sci-Fi, Fantasy",9,5,52,37,3808,6.9,35
"Historical, Action",9,5,12,1032,739,6.84,231
"Fantasy, Action, Supernatural",8,5,12,140,81,8.66,10953
"Comedy, Shounen, Action",6,3,1,25,2158,7.53,79
Comedy,15,4,4,1,10722,5.5,0
Comedy,4,4,6,1,6965,6.41,5
"Romance, Fantasy, Action, Supernatural, Ecchi",5,5,12,398,547,7.15,626
"Comedy, Romance, Shoujo",6,5,142,515,4466,7.79,62
Sci-Fi,6,0,1,32,7982,6.94,0
"Sci-Fi, Fantasy, Shounen, Action",6,5,13,60,8399,6.41,1
"Historical, Romance, Fantasy",10,0,1,1030,6348,6.23,4
"Romance, Fantasy, Action",5,5,12,14,954,7.61,410
"Sci-Fi, Romance, Fantasy, Shounen, Action",9,5,54,62,6013,6.91,12
"Sci-Fi, Romance, Action",9,3,1,42,6526,7.26,2
"Comedy, Sci-Fi, Romance, Fantasy, Action",6,5,195,47,1953,7.75,537
"Comedy, Romance, Shounen",6,3,7,19,6795,7.34,12
"Comedy, Romance, Shounen",15,5,12,19,915,7.31,306
"Sports, Romance, Shounen",6,5,26,4114,1639,7.66,294
"Sci-Fi, Shounen, Action",9,0,1,56,5599,7.25,4
"Comedy, Romance, Ecchi",5,5,13,259,848,6.57,162
Hentai,13,3,2,2048,2021,7.35,462
"Comedy, Historical, Shounen",6,5,30,1041,11428,6.37,0
"Comedy, Shounen",6,4,12,17,3689,7.09,16
"Romance, Shoujo",5,4,7,514,4290,7.51,5
"Comedy, Sci-Fi, Romance, Fantasy, Gore, Action, Otro",9,5,26,16495,3706,6.7,68
"Comedy, Romance, Ecchi",5,4,1,259,1289,7.06,39
"Comedy, Romance",15,2,10,3,6607,6.53,6
"Comedy, Fantasy, Shoujo",13,3,1,517,4649,6.84,9
Romance,6,5,12,2,553,6.81,627
"Fantasy, Otro",4,0,1,68,3242,6.78,33
"Historical, Fantasy, Action",8,5,26,1036,630,8.21,2186
"Shounen, Supernatural, Thriller, Otro",8,4,1,65744,4760,6.73,0
"Comedy, Fantasy",9,4,1,5,5413,6.55,1
"Romance, Shounen, Action, Thriller, Otro",5,0,1,65626,2133,7.69,55
Gore,9,0,1,16384,8059,4.04,0
"Romance, Shoujo, Music",9,5,178,8706,2487,7.44,570
"Sci-Fi, Music",9,5,13,8224,2286,7.78,305
"Mistery, Action, Supernatural, Thriller, Otro",9,2,12,98504,1079,7.66,470
"Fantasy, Shoujo, Action",9,5,0,524,5141,7.36,18
"Historical, Romance, Fantasy, Otro",8,5,26,1094,6101,6.85,5
"Comedy, Sci-Fi, Romance, Ecchi",6,4,1,291,3899,7.22,4
"Sci-Fi, Sports, Fantasy, Shounen",9,5,37,4148,5605,7.49,40
"Sports, Shoujo, Music",9,0,1,12800,7012,6.99,9
"Comedy, Fantasy, Shoujo",9,4,8,517,8970,5.84,0
Otro,8,5,13,64,6868,5.18,2
"Comedy, Romance, Fantasy",14,5,12,7,3795,6.31,22
"Sci-Fi, Action",9,5,25,40,797,7.48,957
"Gore, Shounen, Action, Supernatural",6,3,1,16536,5293,5.7,14
Hentai,13,3,0,2048,6760,7.64,12
"Comedy, Sci-Fi, Fantasy, Ecchi",9,3,4,293,6415,6.28,4
"Romance, Fantasy, Shoujo, Action",9,5,50,526,4560,7.12,38
Hentai,6,3,4,2048,3496,7.44,155
"Comedy, Fantasy, Shounen, Action, Supernatural",6,5,12,157,142,7.73,3732
"Comedy, Fantasy, Action, Otro",4,5,192,77,948,7.19,304
"Comedy, Sci-Fi",9,4,3,33,7138,6.34,5
"Comedy, Fantasy, Shounen",6,3,3,21,1524,7.42,100
"Sports, Romance, Action",6,5,33,4106,5810,7.43,10
"Romance, Fantasy, Gore, Shounen, Action, Supernatural",6,5,25,16542,210,8.45,12562
"Comedy, Sci-Fi, Romance, Otro",9,3,6,99,5844,7.36,36
"Romance, Fantasy, Supernatural, Otro",6,3,1,198,3777,6.92,2
"Comedy, Fantasy, Action, Otro",4,5,84,77,1643,6.63,144
"Sci-Fi, Otro",9,3,4,96,2261,6.69,37
"Historical, Romance, Fantasy, Shounen, Supernatural, Otro",6,5,10,1238,727,8.83,701
Fantasy,13,3,0,4,4465,7.02,11
"Sci-Fi, Romance, Shounen",6,3,1,50,7211,6.44,1
"Romance, Ecchi",13,5,12,258,1209,7.04,131
"Comedy, Romance, Shounen, Otro",9,5,8,83,6132,6.46,3
"Comedy, Romance, Fantasy, Shoujo",6,0,1,519,1205,7.72,948
"Sci-Fi, Action",9,4,1,40,3735,6.91,8
"Supernatural, Otro",8,0,1,192,2229,7.7,28
Comedy,13,4,24,1,2002,7.43,127
"Sci-Fi, Fantasy",9,0,1,36,3064,7.46,35
"Romance, Action",4,5,26,10,909,7.71,609
"Fantasy, Action, Otro",8,5,25,76,64,8.09,7505
Romance,9,5,12,2,639,7.41,605
Comedy,5,4,4,1,2671,6.99,7
"Comedy, Sci-Fi, Shounen",6,3,1,49,6917,6.13,3
"Fantasy, Shoujo",9,5,50,516,7696,7.04,5
Fantasy,9,0,1,4,9088,5.9,0
"Comedy, Sci-Fi, Fantasy, Shounen",6,3,6,53,4247,6.76,19
"Sci-Fi, Shounen, Action",6,5,56,56,6226,7.29,12
"Comedy, Romance, Ecchi",5,5,12,259,1484,7.27,86
"Comedy, Fantasy, Shounen, Supernatural",5,3,3,149,3126,7.45,18
"Romance, Music",9,0,1,8194,2846,7.22,15
"Mistery, Fantasy, Action",9,2,1,32780,6807,6.17,3
"Comedy, Sci-Fi, Action",9,5,26,41,2855,6.63,30
"Sci-Fi, Fantasy, Action, Ecchi",9,3,1,300,2655,6.31,24
Sports,9,5,12,4096,3104,5.7,12
"Comedy, Fantasy, Shounen",6,5,153,21,99,8.15,8598
"Romance, Gore, Shounen, Action, Supernatural, Otro",13,5,12,16602,800,7.04,582
"Gore, Shounen, Action, Supernatural",6,5,13,16536,125,7.6,4823
"Comedy, Fantasy, Shounen",6,0,1,21,2336,7.29,26
"Mistery, Sci-Fi, Romance, Action",9,0,1,32810,2690,7.57,100
"Comedy, Romance, Shounen",15,3,2,19,4794,7.1,3
"Sci-Fi, Romance, Fantasy",9,0,1,38,3615,7.37,36
Sci-Fi,4,3,3,32,9546,5.98,0
Fantasy,9,5,39,4,9351,6.56,4
"Fantasy, Action, Ecchi",10,3,4,268,4161,6.18,5
"Comedy, Sports, Shounen, Action",6,4,1,4121,9425,6.54,0
"Romance, Shoujo",6,5,12,514,1177,5.52,160
"Romance, Fantasy, Action, Otro",14,2,20,78,3874,6.48,22
"Romance, Otro",6,5,25,66,1256,7.55,752
Comedy,9,5,6,1,11153,4.36,0
"Comedy, Fantasy, Otro",4,0,1,69,4804,7.0,3
"Fantasy, Music",7,1,1,8196,3567,7.3,38
Hentai,13,3,2,2048,4360,6.92,20
"Comedy, Sci-Fi, Fantasy, Action, Ecchi",9,3,1,301,4600,6.88,3
"Comedy, Romance, Shounen, Ecchi",6,3,1,275,2984,5.73,33
"Mistery, Sci-Fi, Action",9,0,1,32808,614,7.87,397
Comedy,14,0,1,1,12644,4.0,0
"Historical, Romance",8,5,26,1026,9096,6.6,0
Comedy,6,4,2,1,2105,6.94,22
"Shoujo, Music",4,0,1,8704,7926,6.68,3
"Comedy, Shoujo, Ecchi",6,5,12,769,2310,5.4,30
Music,7,1,1,8192,12356,6.16,1
Hentai,13,3,2,2048,4699,6.98,21
"Comedy, Fantasy",5,5,26,5,3717,7.59,98
"Comedy, Historical, Fantasy, Supernatural",6,4,11,1157,3823,6.67,15
Music,9,1,1,8192,13322,5.77,0
"Comedy, Romance, Action, Supernatural, Ecchi",5,5,12,395,189,7.68,2801
Romance,9,0,1,2,1768,7.5,69
"Comedy, Romance, Fantasy, Shounen, Action, Supernatural",6,5,64,159,343,7.83,2829
"Historical, Fantasy",9,0,1,1028,9728,6.9,0
Comedy,9,5,26,1,3956,4.64,2
"Comedy, Supernatural",6,5,108,129,8385,6.77,1
"Fantasy, Shounen, Action",6,3,1,28,4377,7.4,5
"Comedy, Fantasy",6,5,26,5,8045,6.99,13
Hentai,13,3,0,2048,7279,7.04,8
"Comedy, Romance, Supernatural, Ecchi",5,5,12,387,255,7.39,1464
"Comedy, Romance, Shoujo",6,5,12,515,1493,7.91,371
Hentai,13,3,2,2048,6433,6.02,5
Comedy,5,2,5,1,2421,6.61,14
"Sci-Fi, Fantasy, Shounen",4,5,25,52,3276,6.97,40
"Comedy, Fantasy",9,5,12,5,7143,6.08,4
"Romance, Shoujo",6,3,1,514,8131,5.31,1
"Sci-Fi, Romance, Action",9,5,25,42,869,8.0,1155
"Historical, Fantasy, Shounen, Action",8,5,34,1052,9064,7.35,4
"Comedy, Action",6,0,1,9,2948,7.31,25
"Comedy, Romance, Shoujo, Music, Ecchi",13,5,13,8963,1889,7.2,222
"Sci-Fi, Fantasy, Action",6,3,4,44,5179,6.99,8
"Comedy, Romance, Fantasy, Shounen, Action",9,5,13,31,1127,7.49,933
Fantasy,4,4,1,4,3657,6.61,4
"Comedy, Romance",9,2,0,3,12225,4.89,0
"Gore, Action, Supernatural",9,0,1,16520,1527,7.32,112
"Historical, Romance, Shounen",6,5,12,1042,1659,7.47,135
"Historical, Romance, Shounen",6,0,1,1042,4448,7.46,5
"Sci-Fi, Fantasy, Shounen",6,5,26,52,3101,7.35,141
"Comedy, Fantasy, Action",9,5,12,13,931,7.15,253
"Romance, Shounen, Action, Ecchi",6,5,12,282,1450,6.91,120
"Comedy, Sci-Fi, Romance, Fantasy, Shounen, Action, Ecchi",9,5,25,319,2610,7.42,149
"Romance, Shoujo, Ecchi",13,2,26,770,1732,6.26,149
"Sci-Fi, Romance, Fantasy, Shounen",6,4,3,54,3211,8.09,76
"Romance, Fantasy, Gore, Shounen, Action, Supernatural",6,4,1,16542,4581,6.17,8
"Comedy, Romance, Fantasy, Shounen, Action, Ecchi",6,0,1,287,1273,7.41,174
"Comedy, Historical, Fantasy, Action, Supernatural",6,0,1,1165,1327,8.54,564
"Fantasy, Shounen, Action",13,4,1,28,3036,5.44,5
"Comedy, Romance, Fantasy, Shounen, Action",6,5,12,31,1028,7.74,471
Romance,9,2,6,2,9910,5.7,0
"Sci-Fi, Fantasy, Action",9,3,7,44,2949,7.55,62
"Romance, Otro",6,5,13,66,2477,7.48,101
Comedy,9,4,3,1,7589,5.97,0
"Comedy, Romance, Shounen, Supernatural",15,4,11,147,3931,7.33,9
Hentai,13,3,2,2048,7212,6.0,5
"Comedy, Sci-Fi, Romance",9,5,13,35,2597,6.92,88
Hentai,9,3,1,2048,6006,6.14,36
"Sci-Fi, Romance, Action",9,3,6,42,7145,6.92,1
"Comedy, Romance",5,4,1,3,4327,6.81,38
"Comedy, Sci-Fi, Shounen, Supernatural, Ecchi",6,0,1,433,1318,6.87,251
"Comedy, Romance, Ecchi",14,2,15,259,4087,7.48,26
"Comedy, Fantasy, Action",5,4,8,13,1781,7.05,48
"Historical, Romance, Fantasy, Otro",9,0,1,1094,9274,6.13,1
"Romance, Ecchi",10,2,12,258,1799,6.51,96
"Historical, Romance, Fantasy, Shounen, Supernatural, Otro",6,5,10,1238,569,8.77,894
"Comedy, Sci-Fi, Fantasy, Shounen",6,3,2,53,2254,7.02,19
"Sci-Fi, Music",7,1,1,8224,13823,3.67,0
Hentai,6,3,4,2048,3892,7.21,87
Comedy,2,4,3,1,4279,5.92,3
"Romance, Fantasy, Gore",9,3,1,16390,1478,7.63,1058
"Sci-Fi, Gore, Action",4,0,1,16424,3102,7.35,32
"Historical, Romance, Shounen, Action, Otro",6,5,12,1114,1229,7.5,613
"Comedy, Fantasy, Shoujo, Action",9,0,1,525,6282,6.8,1
"Comedy, Romance",6,4,35,3,2909,7.3,22
"Romance, Fantasy, Supernatural",8,4,1,134,3265,6.8,9
"Comedy, Romance, Fantasy, Shounen, Action",6,0,1,31,784,8.32,401
"Comedy, Sci-Fi, Historical, Romance, Fantasy",10,3,2,1063,2803,7.19,62
"Comedy, Sci-Fi, Romance, Shounen, Ecchi",6,5,12,307,444,7.52,767
"Romance, Shoujo",6,4,10,514,2383,6.77,65
"Comedy, Romance, Shounen",15,5,12,19,1618,7.6,210
"Comedy, Romance, Ecchi",6,4,1,259,3483,6.41,5
"Comedy, Romance, Shounen",6,5,12,19,1037,7.07,381
"Mistery, Comedy, Fantasy, Shounen, Otro",6,0,1,32853,2161,8.21,25
"Comedy, Ecchi",5,3,1,257,2667,6.36,6
"Sci-Fi, Music",7,1,1,8224,14002,3.8,0
"Comedy, Romance, Fantasy, Action",2,5,12,15,2923,6.75,38
"Comedy, Romance, Action, Supernatural, Ecchi",5,4,1,395,2441,6.97,52
"Sci-Fi, Shounen, Action",6,3,6,56,2189,8.46,240
"Comedy, Sports, Romance, Fantasy, Shoujo",9,5,51,4615,1499,8.03,1155
"Comedy, Romance, Shoujo",6,5,12,515,1231,8.03,495
"Comedy, Romance, Fantasy",4,5,13,7,3292,6.29,10
"Comedy, Romance",6,4,6,3,7468,6.31,0
"Sci-Fi, Fantasy, Action, Supernatural, Otro",4,5,50,236,7627,6.48,2
"Comedy, Sports, Romance, Shounen",6,3,2,4115,5305,7.58,3
"Sci-Fi, Fantasy, Shounen",9,5,26,52,2431,7.17,143
"Sci-Fi, Action",9,5,73,40,9768,6.55,0
Comedy,9,5,0,1,11717,4.67,0
"Comedy, Fantasy",14,5,12,5,1777,6.86,62
"Comedy, Romance, Shounen",6,5,11,19,506,8.16,1768
